"company","job description","required qualification","location"
"Northern Coalfields Limited","Mechanical Maintenance Trainee (HEMM). Assist in the maintenance and repair of Heavy Earth Moving Machinery (dumpers,  shovels). 12-month workshop/field role.","Diploma in Mechanical/Automobile Engineering or ITI (Mechanic). Must meet PMIS age and income criteria.","Singrauli,  Madhya Pradesh"
"UltraTech Cement Limited","Operations Trainee (Production). 12-month hands-on role assisting in kiln and mill operations. Monitor control panels and support shift engineers.","Diploma in Chemical Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Chittorgarh,  Rajasthan"
"Hero MotoCorp Limited","Quality Inspection Trainee (Engine). 12-month shop-floor role. Learn to inspect engine components using gauges and measuring instruments.","Diploma in Mechanical/Automobile Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Haridwar,  Uttarakhand"
"NHPC Limited","Finance Trainee (Admin). 12-month office role. Assist the finance team with data entry,  bill processing,  and voucher management.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Parbati,  Himachal Pradesh"
"Asian Paints Limited","Warehouse Operations Trainee. 12-month role at a distribution center. Learn inventory management (SAP),  order processing,  and logistics coordination.","B.Com (Logistics) or BBA (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Kasna,  Uttar Pradesh"
"IndusInd Bank Ltd","Operations Trainee (Back-Office). 12-month role processing customer requests (e.g.,  address change,  stop payment),  data entry,  and file management.","B.Com or B.A. graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Pune,  Maharashtra"
"Samsung India Electronics Private Limited","Quality Assurance Trainee (Hardware). 12-month role testing mobile device hardware (e.g.,  screen,  camera,  battery). Log defects and verify fixes.","Diploma in Electronics (ECE). Must meet PMIS age (21-24) and income (<8L) criteria.","Noida,  Uttar Pradesh"
"Mahanadi Coalfields Limited","Materials Management Trainee. 12-month office role. Assist in procurement,  stores management,  and inventory control.","B.Com or Diploma in Materials Management. Must meet PMIS age and income criteria.","Sambalpur,  Odisha"
"Shriram Finance Limited","Verification Trainee (Field). 12-month field role. Conduct physical verification of customer's address and collateral (vehicles) for loan applications.","Class 12 Pass. Must have a two-wheeler and valid license. Must meet PMIS age and income criteria.","Chennai,  Tamil Nadu"
"Bandhan Bank Limited","Branch Operations Trainee. 12-month branch role. Support customer service,  cash handling,  and back-office account opening processes.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Guwahati,  Assam"
"Ambuja Cements Limited","Mechanical Maintenance Trainee. 12-month hands-on role. Assist in maintaining heavy machinery (kilns,  mills,  crushers). Learn preventive maintenance.","ITI (Fitter) or Diploma in Mechanical Engineering. Must meet PMIS age and income criteria.","Darlaghat,  Himachal Pradesh"
"Oil and Natural Gas Corporation Limited","Finance Trainee (Admin). 12-month office role. Assist the finance team with processing bills,  managing vouchers,  and data entry.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Rajahmundry,  Andhra Pradesh"
"Maruti Suzuki India Limited","Supply Chain Trainee (Logistics). 12-month office role. Coordinate with suppliers for parts delivery,  manage schedules,  and track shipments.","B.Com (Logistics) or BBA (non-premier institute). Must meet PMIS age and income criteria.","Gurugram,  Haryana"
"HDFC Bank Limited","HR Trainee (Admin). 12-month office role. Support the HR team with employee records,  leave management,  and data entry.","BBA (HR) graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Mumbai,  Maharashtra"
"Reliance Industries Limited","Operations Trainee (Refinery). 12-month rotational shift role. Learn refinery unit operations,  monitor parameters,  and assist shift engineers.","Diploma in Chemical Engineering. Must meet PMIS age (21-24) and income (<8L) criteria. Not from IIT.","Jamnagar,  Gujarat"
"Infosys Limited","HR Trainee (Onboarding). 12-month role assisting the HR team. Manage new hire documentation,  coordinate background verification,  and support induction.","BBA (HR) graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Bengaluru,  Karnataka"
"Tata Steel Limited","Mechanical Maintenance Trainee (Workshop). 12-month role in the central workshop. Learn machining,  fitting,  and fabrication to support plant maintenance.","ITI (Fitter/Machinist) or Diploma in Mechanical Engineering. Must meet PMIS age and income criteria.","Jamshedpur,  Jharkhand"
"Larsen and Toubro Limited","Store Keeper Trainee (Site). 12-month on-site role. Manage inventory of construction materials,  issue items,  and maintain stock records.","B.Com or Diploma in Materials Management. Must meet PMIS age (21-24) and income (<8L) criteria.","Vadodara,  Gujarat"
"ICICI Bank Limited","Operations Trainee (Branch). 12-month role supporting non-cash transactions,  handling customer queries,  and managing branch documentation.","B.Com or BBA graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Lucknow,  Uttar Pradesh"
"Hindustan Unilever Limited","Factory Operations Trainee. 12-month hands-on role at a food/beverage plant. Learn production line operations,  packaging,  and factory safety protocols.","ITI (Fitter/Electrician) or Class 12 Pass (Science). Must meet PMIS age (21-24) and income (<8L) criteria.","Pune,  Maharashtra"
"Wipro Limited","Service Desk Trainee (Internal). 12-month role providing IT support to Wipro employees. Handle password resets,  software issues,  and hardware requests.","B.Sc (IT) or BCA (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Chennai,  Tamil Nadu"
"Mahindra and Mahindra Limited","Manufacturing Trainee (Assembly). 12-month shop-floor role. Learn to assemble UVs (e.g.,  Scorpio,  XUV). Follow standard operating procedures.","ITI (Fitter/Mechanic) or Diploma in Mechanical/Automobile Engineering. Must meet PMIS eligibility.","Zaheerabad,  Telangana"
"GAIL (India) Limited","Instrumentation Maintenance Trainee. 12-month hands-on role at a compressor station. Assist technicians in maintaining and calibrating field instruments.","Diploma in Instrumentation/Electronics Engineering (EIE/ECE). Must meet PMIS age and income criteria.","Hazira,  Gujarat"
"Bajaj Auto Limited","Assembly Trainee (Motorcycle). 12-month hands-on role assembling motorcycles. Learn production processes and quality checks.","ITI (Fitter/Mechanic) or Diploma in Mechanical/Automobile Engineering. Must meet PMIS eligibility.","Chakan,  Maharashtra"
"NTPC Limited","Finance Trainee (Admin). 12-month office role. Assist the finance team with data entry,  bill processing,  and voucher management.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Dadri,  Uttar Pradesh"
"Axis Bank Limited","Branch Operations Trainee. 12-month customer-facing role. Handle queries,  assist with deposits/withdrawals,  and explain banking products.","Class 12 Pass or B.A. (any discipline). Good communication skills. Must meet PMIS eligibility.","Kolkata,  West Bengal"
"Indian Oil Corporation Limited","Operations Trainee (LPG Bottling Plant). 12-month hands-on role. Learn bottling operations,  safety checks,  and cylinder management.","ITI (Fitter) or Diploma in Mechanical Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Allahabad,  Uttar Pradesh"
"Hindustan Petroleum Corporation Limited","Operations Trainee (Terminal). 12-month role at a petroleum storage terminal. Learn inventory management,  tanker loading,  and safety protocols.","Diploma in Mechanical Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Bhopal,  Madhya Pradesh"
"Reliance Retail Limited","Store Operations Trainee (Reliance Trends). 12-month store-based role. Learn visual merchandising,  inventory management,  and customer service.","Class 12 Pass or B.A. (any discipline). Must meet PMIS age (21-24) and income (<8L) criteria.","Chennai,  Tamil Nadu"
"JSW Steel Limited","Safety Officer Trainee. 12-month on-site role. Assist the safety department in conducting audits,  training workers,  and investigating incidents.","Diploma in Industrial Safety or B.Sc (any discipline). Must meet PMIS age (21-24) and income (<8L) criteria.","Dolvi,  Maharashtra"
"Power Grid Corporation of India Limited","IT Helpdesk Trainee (Substation). 12-month on-site role. Provide basic IT support to substation staff. Manage local hardware and network issues.","Diploma in Computer Science/IT. Must meet PMIS age (21-24) and income (<8L) criteria.","Itanagar,  Arunachal Pradesh"
"ITC Limited","Hospitality Trainee (Housekeeping). 12-month role in a hotel. Learn room management,  cleanliness standards,  and inventory control for housekeeping.","B.Sc in Hospitality or B.A. (any discipline). Must meet PMIS age (21-24) and income (<8L) criteria.","Bengaluru,  Karnataka"
"Tata Consultancy Services Limited","Operations Trainee (BPO). 12-month back-office role. Perform data processing tasks for an international client (e.g.,  banking,  retail).","B.A.,  B.Sc,  or B.Com graduate (non-premier). Must meet PMIS age (21-24) and income (<8L) criteria.","Mumbai,  Maharashtra"
"HCL Technologies Limited","Operations Support Trainee. 12-month back-office role. Support a business process,  perform data validation,  and prepare reports for a manager.","B.A. or B.Com graduate (non-premier institute). Good Excel skills required. Must meet PMIS eligibility.","Noida,  Uttar Pradesh"
"Muthoot Finance Limited","Gold Appraiser Trainee. 12-month branch role. Learn to test gold purity,  weigh ornaments,  and manage documentation for gold loans under supervision.","B.Com or B.A. graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Kolkata,  West Bengal"
"Oil India Limited","Finance Trainee (Admin). 12-month office role. Assist the finance team with data entry,  bill processing,  and voucher management.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Jodhpur,  Rajasthan"
"Steel Authority of India Limited","Finance Trainee (Admin). 12-month office role at the plant. Assist the finance team with data entry,  bill processing,  and voucher management.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Rourkela,  Odisha"
"Kotak Mahindra Bank Limited","Loan Documentation Trainee. 12-month back-office role. Verify personal loan/home loan documents,  check for completeness,  and coordinate with sales teams.","B.Com or B.A. graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Mumbai,  Maharashtra"
"Tech Mahindra Limited","HR Trainee (Admin). 12-month role supporting the HR team. Assist with employee records,  leave management,  and data entry.","BBA (HR) graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Hyderabad,  Telangana"
"Northern Coalfields Limited","Finance Trainee (Admin). 12-month office role. Assist the finance team with data entry,  bill processing,  and voucher management.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Singrauli,  Madhya Pradesh"
"UltraTech Cement Limited","Mechanical Maintenance Trainee. 12-month hands-on role. Assist in maintaining heavy machinery (kilns,  mills,  crushers). Learn preventive maintenance.","ITI (Fitter) or Diploma in Mechanical Engineering. Must meet PMIS age and income criteria.","Vikram Nagar,  Madhya Pradesh"
"Hero MotoCorp Limited","Store Keeper Trainee. 12-month role in the plant stores. Manage inventory of spare parts,  issue components,  and maintain records in SAP.","B.Com or Diploma in Materials Management. Must meet PMIS age (21-24) and income (<8L) criteria.","Gurugram,  Haryana"
